trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
35,927365.0,927807.0,-1.0,530.0,1.1565,1.151,0.30647250000000004,0.305015,0.0,2.915000000000032,2.303512500000032,9958.838061252538,2.0,9956.53454875254,0.061562082368990155,1636183680.0,2021-11-06 00:05:00+00:00,2021-11-06 00:05:00+00:00,2021-11-06 07:27:00+00:00,2021-11-06 07:28:00+00:00,1.3425163820783144,1.1507011265003224,2021-11-11 00:00:00+00:00,0.031173993574589047,0.023364877606157596,target,minute interval; not exact exchange fill
36,928805.0,930552.0,-1.0,636.0,1.1494,1.2881,0.3655092,0.40961580000000003,-0.73795723519428,-88.21320000000003,-88.25036776480574,9870.587693487732,1.0,9958.838061252538,0.07340398503357716,1636348380.0,2021-11-07 00:05:00+00:00,2021-11-07 00:05:00+00:00,2021-11-08 05:12:00+00:00,2021-11-08 05:13:00+00:00,1.2877727110992865,1.138567034927184,2021-11-12 00:00:00+00:00,0.07828830545238856,-1.002787607320975,stop,minute interval; not exact exchange fill
37,931685.0,931685.0,-1.0,437.0,1.278,1.2756,0.279243,0.27871860000000004,0.0,1.0487999999999815,0.49083839999998147,9871.078531887732,2.0,9870.587693487732,0.0565808255134058,1636416360.0,2021-11-09 00:05:00+00:00,2021-11-09 00:05:00+00:00,2021-11-09 00:05:00+00:00,2021-11-09 00:06:00+00:00,1.5018687260136137,1.2752958886494459,2021-11-14 00:00:00+00:00,0.01207900450726517,0.005017226032418905,target,minute interval; not exact exchange fill
38,933125.0,933156.0,-1.0,405.0,1.2601,1.2528000000000001,0.25517025000000004,0.25369200000000003,0.0,2.956499999999944,2.447637749999944,9873.526169637731,2.0,9871.078531887732,0.05170058148675302,1636504620.0,2021-11-10 00:05:00+00:00,2021-11-10 00:05:00+00:00,2021-11-10 00:36:00+00:00,2021-11-10 00:37:00+00:00,1.501819324953867,1.2524651679898469,2021-11-15 00:00:00+00:00,0.031585525946716396,0.025002345183420056,target,minute interval; not exact exchange fill
39,934565.0,934567.0,-1.0,511.0,1.1887,1.1823000000000001,0.30371285000000003,0.30207765000000003,0.0,3.27039999999998,2.6646094999999796,9876.19077913773,2.0,9873.526169637731,0.06152064516402523,1636589280.0,2021-11-11 00:05:00+00:00,2021-11-11 00:05:00+00:00,2021-11-11 00:07:00+00:00,2021-11-11 00:08:00+00:00,1.3798357274487838,1.182053899524521,2021-11-16 00:00:00+00:00,0.034771628330240216,0.02728166036565417,target,minute interval; not exact exchange fill
40,936005.0,936076.0,-1.0,602.0,1.2144000000000001,1.2069,0.3655344000000001,0.3632769,0.0,4.515000000000038,3.7861887000000376,9879.97696783773,2.0,9876.19077913773,0.07402335742078771,1636679820.0,2021-11-12 00:05:00+00:00,2021-11-12 00:05:00+00:00,2021-11-12 01:16:00+00:00,2021-11-12 01:17:00+00:00,1.3764305551969798,1.2066394421156292,2021-11-17 00:00:00+00:00,0.047895644589605,0.038815827004691404,target,minute interval; not exact exchange fill
41,937445.0,937557.0,-1.0,491.0,1.1939,1.1801000000000001,0.29310244999999996,0.28971455,0.0,6.775799999999908,6.1929829999999075,9886.169950837731,2.0,9879.97696783773,0.05933261807272138,1636768680.0,2021-11-13 00:05:00+00:00,2021-11-13 00:05:00+00:00,2021-11-13 01:57:00+00:00,2021-11-13 01:58:00+00:00,1.3930861304522153,1.179813186321516,2021-11-18 00:00:00+00:00,0.07072186023445738,0.0633226820128707,target,minute interval; not exact exchange fill
42,938885.0,939378.0,-1.0,434.0,1.1904000000000001,1.1755,0.2583168,0.2550835,-0.139269023712,6.466600000000058,6.092468723712058,9892.262419561443,2.0,9886.169950837731,0.0522582155242255,1636877940.0,2021-11-14 00:05:00+00:00,2021-11-14 00:05:00+00:00,2021-11-14 08:18:00+00:00,2021-11-14 08:19:00+00:00,1.4160108052104907,1.1751879922245831,2021-11-19 00:00:00+00:00,0.06742588308757848,0.06222195942655759,target,minute interval; not exact exchange fill
43,940325.0,941446.0,-1.0,685.0,1.1938,1.1806,0.4088765,0.40435550000000003,-0.47014325849598304,9.041999999999916,8.698911258495901,9900.961330819939,2.0,9892.262419561443,0.08266592264909342,1637002020.0,2021-11-15 00:05:00+00:00,2021-11-15 00:05:00+00:00,2021-11-15 18:46:00+00:00,2021-11-15 18:47:00+00:00,1.3363064894176806,1.1803470797070736,2021-11-20 00:00:00+00:00,0.09440215914305752,0.08911271742952719,target,minute interval; not exact exchange fill
44,944645.0,945194.0,-1.0,642.0,1.0919,1.0895000000000001,0.35049990000000003,0.3497295,-0.07109910084599999,1.5407999999999729,0.9116697008459729,9901.873000520784,2.0,9900.961330819939,0.07080118551901741,1637226900.0,2021-11-18 00:05:00+00:00,2021-11-18 00:05:00+00:00,2021-11-18 09:14:00+00:00,2021-11-18 09:15:00+00:00,1.244160473624858,1.0892731435945064,2021-11-23 00:00:00+00:00,0.017252385618908204,0.009326427464679337,target,minute interval; not exact exchange fill
45,947525.0,947842.0,-1.0,575.0,1.0909,1.0829,0.31363375000000004,0.31133375,0.0,4.600000000000004,3.9750325000000037,9905.848033020784,2.0,9901.873000520784,0.06334836853260077,1637385780.0,2021-11-20 00:05:00+00:00,2021-11-20 00:05:00+00:00,2021-11-20 05:22:00+00:00,2021-11-20 05:23:00+00:00,1.2611687582030162,1.0826430241949823,2021-11-25 00:00:00+00:00,0.04849378060990316,0.040601106585609344,target,minute interval; not exact exchange fill
46,948965.0,949101.0,-1.0,515.0,1.0959,1.0855000000000001,0.28219425000000004,0.27951625,0.0,5.355999999999982,4.794289499999982,9910.642322520784,2.0,9905.848033020784,0.056975283501082545,1637461320.0,2021-11-21 00:05:00+00:00,2021-11-21 00:05:00+00:00,2021-11-21 02:21:00+00:00,2021-11-21 02:22:00+00:00,1.286273862853675,1.0852198474159787,2021-11-26 00:00:00+00:00,0.05610093961391338,0.04890009510998512,target,minute interval; not exact exchange fill
47,951845.0,952343.0,-1.0,622.0,1.0377,1.0311000000000001,0.32272470000000003,0.32067210000000007,-0.06448896,4.105199999999963,3.5262921599999624,9914.168614680784,2.0,9910.642322520784,0.06512689884219626,1637655840.0,2021-11-23 00:05:00+00:00,2021-11-23 00:05:00+00:00,2021-11-23 08:23:00+00:00,2021-11-23 08:24:00+00:00,1.1952544225857547,1.0308194246105578,2021-11-28 00:00:00+00:00,0.043671102826055644,0.03598299499916756,target,minute interval; not exact exchange fill
48,953285.0,953352.0,-1.0,572.0,1.0707,1.0634000000000001,0.3062202,0.3041324,0.0,4.175599999999921,3.5652473999999215,9917.733862080784,2.0,9914.168614680784,0.06177425700558546,1637716380.0,2021-11-24 00:05:00+00:00,2021-11-24 00:05:00+00:00,2021-11-24 01:12:00+00:00,2021-11-24 01:13:00+00:00,1.242098565180598,1.063120557546883,2021-11-29 00:00:00+00:00,0.044221154623615325,0.03636524024242777,target,minute interval; not exact exchange fill
49,954725.0,954731.0,-1.0,692.0,1.0316,1.0270000000000001,0.3569336,0.35534200000000005,0.0,3.1831999999999567,2.470924399999957,9920.204786480785,2.0,9917.733862080784,0.07197886230133499,1637799120.0,2021-11-25 00:05:00+00:00,2021-11-25 00:05:00+00:00,2021-11-25 00:11:00+00:00,2021-11-25 00:12:00+00:00,1.1732344662247902,1.0267276109510577,2021-11-30 00:00:00+00:00,0.03440115375031203,0.025210671492437633,target,minute interval; not exact exchange fill
50,956165.0,956215.0,-1.0,847.0,1.046,1.0387,0.442981,0.43988944999999996,0.0,6.1831000000000715,5.300229550000072,9925.505016030784,2.0,9920.204786480785,0.08930884181013939,1637888160.0,2021-11-26 00:05:00+00:00,2021-11-26 00:05:00+00:00,2021-11-26 00:55:00+00:00,2021-11-26 00:56:00+00:00,1.1613682588624976,1.0384428016328344,2021-12-01 00:00:00+00:00,0.06550500494397436,0.05424065563352488,target,minute interval; not exact exchange fill
51,957605.0,959139.0,-1.0,602.0,0.9365,0.9323,0.28188650000000004,0.2806223,-0.171488439836,2.528399999999989,2.1373796398359888,9927.642395670618,2.0,9925.505016030784,0.056800434747596676,1638063600.0,2021-11-27 00:05:00+00:00,2021-11-27 00:05:00+00:00,2021-11-28 01:39:00+00:00,2021-11-28 01:40:00+00:00,1.099800712316939,0.9320504031876471,2021-12-02 00:00:00+00:00,0.0272478714221221,0.021741880164669027,target,minute interval; not exact exchange fill
52,960485.0,964989.0,-1.0,934.0,0.9697,0.9624,0.4528499,0.44944080000000003,-0.8370093322679999,6.818199999999975,6.752918632267975,9934.395314302887,2.0,9927.642395670618,0.09123009914166226,1638414600.0,2021-11-29 00:05:00+00:00,2021-11-29 00:05:00+00:00,2021-12-02 03:09:00+00:00,2021-12-02 03:10:00+00:00,1.0743602167124062,0.9621903787983043,2021-12-04 00:00:00+00:00,0.0717523949174621,0.0690816991318434,target,minute interval; not exact exchange fill
53,966245.0,966347.0,-1.0,869.0,0.9709000000000001,0.9665,0.42185605000000004,0.41994425,0.0,3.823600000000061,2.981799700000061,9937.377114002888,2.0,9934.395314302887,0.08492837996745299,1638496080.0,2021-12-03 00:05:00+00:00,2021-12-03 00:05:00+00:00,2021-12-03 01:47:00+00:00,2021-12-03 01:48:00+00:00,1.0835482716031104,0.9662363518663728,2021-12-08 00:00:00+00:00,0.041400086013379446,0.03046029869050676,target,minute interval; not exact exchange fill
