origin_utc,reference_price,horizon_sessions,sample_count,rv_daily_sigma,projection_sigma,latest_sample_origin_utc,latest_matured_session_utc,low_q0.050000,high_q0.050000,low_q0.100000,high_q0.100000,low_q0.250000,high_q0.250000,low_q0.500000,high_q0.500000,low_q0.750000,high_q0.750000,low_q0.900000,high_q0.900000,low_q0.950000,high_q0.950000,low_q0.973684,high_q0.973684,low_q0.026316,high_q0.026316,mean_low_proxy,mean_high_proxy,terminal_median,historical_terminal_up_rate,train_mean_low_hit,train_mean_high_hit,training_near_low_hit,training_near_high_hit
2022-12-31 00:00:00+00:00,1199.66,5,28,0.025097450454825518,0.056119605278922874,2022-12-24 00:00:00+00:00,2022-12-28 00:00:00+00:00,1092.0948087327579,1205.4037177086605,1099.6508585081338,1208.1217204761367,1146.1752263554486,1212.8096377351746,1163.1797689429504,1232.9220741094043,1167.8970898589025,1247.2852760402288,1183.4424867604976,1268.0814576293058,1186.0747571111922,1367.309600719944,1188.132144102238,1469.705550557746,1024.174276693954,1203.3741637516475,1145.9658184262255,1250.8749551128003,1187.455613036617,0.4642857142857143,0.25,0.21428571428571427,0.9642857142857143,0.9642857142857143
2023-01-01 00:00:00+00:00,1196.1,5,28,0.025097530896170697,0.056119785151238895,2022-12-25 00:00:00+00:00,2022-12-29 00:00:00+00:00,1061.6758897932812,1198.437798126255,1073.3157142041935,1201.338628633869,1127.1816260227401,1208.5886663196104,1167.4409882032444,1233.2344369919556,1176.3324930980211,1268.1061038531122,1180.2172135595315,1287.43913336491,1185.429365105268,1312.4999240565082,1186.9166474363515,1396.977730982545,1006.9086725818917,1197.5330406730745,1140.4449962225506,1248.9659132572456,1205.803374590261,0.5714285714285714,0.2857142857142857,0.32142857142857145,0.9642857142857143,0.9642857142857143
2023-01-02 00:00:00+00:00,1199.96,5,28,0.024967515529268524,0.055829061952726064,2022-12-26 00:00:00+00:00,2022-12-30 00:00:00+00:00,1055.1809704125926,1214.339178967728,1076.7883655373967,1216.3448399674164,1120.203996100586,1221.7963945269637,1158.187624835764,1244.2183694056398,1180.1044364720844,1267.2217160764112,1187.8140513186902,1292.9301248124377,1195.5741947532545,1325.4399521695352,1197.8657675020534,1385.7847601033102,1008.3388390121896,1212.3545582490747,1140.4348916550496,1257.6447691298436,1218.5200534834191,0.5714285714285714,0.32142857142857145,0.32142857142857145,0.9642857142857143,0.9642857142857143
2023-01-03 00:00:00+00:00,1213.23,5,28,0.02353038061500084,0.052615530591585184,2022-12-27 00:00:00+00:00,2022-12-31 00:00:00+00:00,1078.5085135575234,1222.438264682485,1103.157156618521,1227.837337107589,1142.7919558475949,1233.4521986983,1173.0723589242298,1248.376687242717,1187.4151576290137,1269.6387577103012,1202.4139675594547,1301.457313994823,1206.7635474746164,1371.401801063289,1209.08477854502,1469.4692916911458,1036.846169892191,1219.4651345320133,1156.7972709917708,1271.138874920029,1212.248470145073,0.5,0.32142857142857145,0.25,0.9642857142857143,0.9642857142857143
2023-01-04 00:00:00+00:00,1214.23,5,28,0.02351413409354505,0.05257920226521213,2022-12-28 00:00:00+00:00,2023-01-01 00:00:00+00:00,1086.2075454782673,1218.8333485927521,1107.7213466263822,1220.400957531193,1155.3163247211473,1234.4311708522703,1182.8241411102865,1251.2553495514635,1197.968603782413,1274.813241044172,1208.0390901184549,1318.5628717446918,1211.3593292790283,1357.7436106723828,1212.1162608798581,1396.8258113660065,1072.327573727028,1218.4918503891656,1167.82928437794,1266.3255123255515,1222.1518593667297,0.5357142857142857,0.32142857142857145,0.35714285714285715,0.9642857142857143,0.9642857142857143
2023-01-05 00:00:00+00:00,1256.39,5,28,0.02395469385772543,0.053564323846070745,2022-12-29 00:00:00+00:00,2023-01-02 00:00:00+00:00,1104.4667278098036,1263.6814809583116,1114.850964399596,1268.8327707068627,1208.8366054224205,1277.633690697853,1226.4948010114833,1297.918411743108,1245.3328941131394,1318.8215698638905,1252.633551690653,1351.3336302439884,1254.3241784771938,1364.584627378097,1254.6759555775925,1418.1679527305357,1102.570059412786,1262.016660133099,1211.9460699045392,1309.4928043400926,1269.532786413739,0.5714285714285714,0.35714285714285715,0.39285714285714285,0.9642857142857143,0.9642857142857143
2023-01-06 00:00:00+00:00,1251.08,5,28,0.014328513376795873,0.03203952992703063,2022-12-30 00:00:00+00:00,2023-01-03 00:00:00+00:00,1163.660949475933,1253.4132148543708,1187.2776915675881,1253.943970388604,1214.7195822888846,1258.1802692145015,1230.5514897830371,1268.4198036084144,1238.7040628120092,1283.1246088306489,1245.779756083589,1305.4534676558358,1247.7584780782404,1364.3798020445577,1249.0185737978081,1408.5098151492864,1144.601162736804,1252.6889495028736,1220.2034919258006,1281.1917840248984,1248.4158979764118,0.39285714285714285,0.2857142857142857,0.25,0.9642857142857143,0.9642857142857143
2023-01-07 00:00:00+00:00,1268.54,5,28,0.01417848307556981,0.03170405197480438,2022-12-31 00:00:00+00:00,2023-01-04 00:00:00+00:00,1202.9731980090921,1271.9675809572718,1218.4580976306877,1273.5870801271517,1239.0669135650262,1276.3766162690413,1246.9016704753362,1288.2916119499168,1253.9467949078742,1298.9954440250324,1260.2959460393993,1311.4265185966515,1262.0738056110513,1366.6253364920535,1263.3469465717255,1422.708400449465,1160.1171380004946,1270.757251940762,1237.6730816585211,1298.8939741817517,1266.8978115755824,0.5,0.21428571428571427,0.25,0.9642857142857143,0.9642857142857143
2023-01-08 00:00:00+00:00,1263.65,5,28,0.014190999262138126,0.03173203901879021,2023-01-01 00:00:00+00:00,2023-01-05 00:00:00+00:00,1181.2753715868698,1265.0459311318064,1188.5809934455199,1266.7764124827863,1221.95028165381,1271.0934770867773,1246.4769470544436,1285.6854290753795,1252.0789267304506,1306.1170540480348,1257.2458209405002,1312.5941695263186,1259.2445995364699,1331.7778084990102,1260.3547122606026,1379.5882730597416,1146.4235699723204,1264.505828609104,1230.08661571508,1294.1891052502783,1269.436298552763,0.5714285714285714,0.2857142857142857,0.32142857142857145,0.9642857142857143,0.9642857142857143
2023-01-09 00:00:00+00:00,1289.65,5,28,0.014134361983767938,0.03160539421429389,2023-01-02 00:00:00+00:00,2023-01-06 00:00:00+00:00,1199.1137379314534,1298.3760161098746,1212.9532830589235,1299.5895820183844,1240.4016972663544,1302.8837759917583,1264.0395020039011,1317.3239822469404,1279.3601056561133,1335.53059625306,1284.5689557669093,1345.2980697967835,1286.979453491838,1364.3444159708547,1288.3753369141052,1399.1689720723518,1168.6822030578485,1297.1743247056168,1253.2133238235713,1324.7687749233576,1300.904758086086,0.5714285714285714,0.32142857142857145,0.35714285714285715,0.9642857142857143,0.9642857142857143
