origin_utc,open,high,low,close,volume,iv_daily_sigma,iv_available_ms
2020-05-27 00:00:00+00:00,200.89,208.48,200.69,208.27,949312.6159999999,,
2020-05-28 00:00:00+00:00,208.27,220.79,204.55,220.32,1302485.446,,
2020-05-29 00:00:00+00:00,220.31,225.0,217.0,220.65,1412528.305,,
2020-05-30 00:00:00+00:00,220.65,247.85,218.77,243.74,2496490.9869999997,,
2020-05-31 00:00:00+00:00,243.73,245.3,229.54,231.55,2064900.4849999999,,
2020-06-01 00:00:00+00:00,231.55,252.8,230.61,248.9,2168854.578,,
2020-06-02 00:00:00+00:00,248.91,254.48,220.0,237.73,1997511.5159999998,,
2020-06-03 00:00:00+00:00,237.74,245.23,233.3,244.52,1177836.333,,
2020-06-04 00:00:00+00:00,244.52,246.7,235.75,243.28,1658566.8569999998,,
2020-06-05 00:00:00+00:00,243.29,248.36,238.68,240.13,1287620.696,,
2020-06-06 00:00:00+00:00,240.12,244.89,237.91,242.05,838620.358,,
2020-06-07 00:00:00+00:00,242.06,245.61,234.64,244.66,1343974.146,,
2020-06-08 00:00:00+00:00,244.67,248.05,241.04,246.65,857037.392,,
2020-06-09 00:00:00+00:00,246.64,250.1,237.3,243.98,1120313.696,,
2020-06-10 00:00:00+00:00,243.98,251.0,241.0,247.95,1101191.0920000002,,
2020-06-11 00:00:00+00:00,247.95,250.34,225.33,230.48,1937518.384,,
2020-06-12 00:00:00+00:00,230.48,239.38,228.3,237.46,958938.087,,
2020-06-13 00:00:00+00:00,237.47,238.88,234.6,238.17,562091.362,,
2020-06-14 00:00:00+00:00,238.14,238.59,229.9,231.92,787142.212,,
2020-06-15 00:00:00+00:00,231.92,233.64,218.02,230.86,1960437.997,,
2020-06-16 00:00:00+00:00,230.85,236.0,228.75,235.22,989098.4720000001,,
2020-06-17 00:00:00+00:00,235.22,237.5,227.47,233.75,1098414.1639999999,,
2020-06-18 00:00:00+00:00,233.73,234.7,227.81,231.26,722224.6529999999,,
2020-06-19 00:00:00+00:00,231.26,232.0,226.02,228.97,875231.6980000001,,
2020-06-20 00:00:00+00:00,228.98,230.8,225.07,228.85,690552.179,,
2020-06-21 00:00:00+00:00,228.84,231.4,227.06,228.08,480312.94100000005,,
2020-06-22 00:00:00+00:00,228.07,247.0,227.5,243.14,1580083.705,,
2020-06-23 00:00:00+00:00,243.13,244.9,240.7,243.12,880274.162,,
2020-06-24 00:00:00+00:00,243.13,249.41,231.0,234.54,1872960.153,,
2020-06-25 00:00:00+00:00,234.54,235.5,227.53,232.5,1051198.67,,
2020-06-26 00:00:00+00:00,232.5,233.65,227.67,229.66,1096114.911,,
2020-06-27 00:00:00+00:00,229.65,231.4,213.59,220.94,1316665.3359999997,,
2020-06-28 00:00:00+00:00,220.95,227.9,217.81,224.96,967586.3740000001,,
2020-06-29 00:00:00+00:00,224.93,230.13,221.11,227.95,1101723.7489999998,,
2020-06-30 00:00:00+00:00,227.95,228.73,223.0,225.56,843327.995,,
2020-07-01 00:00:00+00:00,225.56,232.78,224.01,231.03,980442.364,,
2020-07-02 00:00:00+00:00,231.02,231.99,222.76,226.54,1305858.588,,
2020-07-03 00:00:00+00:00,226.54,228.17,224.11,224.83,579175.291,,
2020-07-04 00:00:00+00:00,224.82,230.77,224.31,229.2,534507.407,,
2020-07-05 00:00:00+00:00,229.21,229.88,223.26,227.61,681239.534,,
2020-07-06 00:00:00+00:00,227.61,242.32,226.89,241.63,1361794.8819999998,,
2020-07-07 00:00:00+00:00,241.66,243.9,234.44,239.45,1024076.026,,
2020-07-08 00:00:00+00:00,239.45,249.0,237.75,247.14,1430997.143,,
2020-07-09 00:00:00+00:00,247.1,247.94,238.04,242.01,1407925.4249999998,,
2020-07-10 00:00:00+00:00,242.0,242.25,235.73,241.37,789372.2779999999,,
2020-07-11 00:00:00+00:00,241.38,241.79,237.61,239.25,478752.331,,
2020-07-12 00:00:00+00:00,239.25,244.35,236.0,242.82,899578.746,,
2020-07-13 00:00:00+00:00,242.82,245.56,237.3,239.6,1099518.4780000001,,
2020-07-14 00:00:00+00:00,239.6,242.24,236.74,240.56,724653.885,,
2020-07-15 00:00:00+00:00,240.57,241.5,236.9,238.59,529634.834,,
2020-07-16 00:00:00+00:00,238.59,239.58,229.84,233.74,1047566.611,,
2020-07-17 00:00:00+00:00,233.75,235.05,231.81,232.72,557216.722,,
2020-07-18 00:00:00+00:00,232.72,236.95,232.35,235.69,466496.50899999996,,
2020-07-19 00:00:00+00:00,235.69,239.93,233.28,239.19,573124.068,,
2020-07-20 00:00:00+00:00,239.18,239.81,234.0,236.03,693643.358,,
2020-07-21 00:00:00+00:00,236.02,246.87,235.52,245.56,1191285.53,,
2020-07-22 00:00:00+00:00,245.56,270.8,241.52,264.27,1647528.0960000001,,
2020-07-23 00:00:00+00:00,264.3,280.48,259.86,275.56,2725687.424,,
2020-07-24 00:00:00+00:00,275.5,287.76,268.32,279.45,2651233.3030000003,,
2020-07-25 00:00:00+00:00,279.45,309.39,279.28,305.64,3122852.1279999996,,
2020-07-26 00:00:00+00:00,305.58,321.99,299.18,311.41,3709687.999,,
2020-07-27 00:00:00+00:00,311.36,335.0,311.0,322.33,5017477.237000001,,
2020-07-28 00:00:00+00:00,322.3,327.47,306.02,317.21,2856472.0799999996,,
2020-07-29 00:00:00+00:00,317.19,325.99,313.0,318.12,1890408.946,,
2020-07-30 00:00:00+00:00,318.12,343.38,314.06,335.3,2332715.926,,
2020-07-31 00:00:00+00:00,335.31,349.83,329.0,346.42,2671758.151,,
2020-08-01 00:00:00+00:00,346.42,394.8,343.4,387.24,4026011.4529999997,,
2020-08-02 00:00:00+00:00,387.25,418.49,302.0,372.85,6320469.19,,
2020-08-03 00:00:00+00:00,372.86,398.59,366.66,386.2,3020910.903,,
2020-08-04 00:00:00+00:00,386.19,403.88,380.66,390.1,2702153.2639999995,,
2020-08-05 00:00:00+00:00,390.02,407.88,384.31,400.95,2378190.4629999995,,
2020-08-06 00:00:00+00:00,400.94,404.25,390.6,395.09,1643305.55,,
2020-08-07 00:00:00+00:00,395.1,398.86,361.27,379.63,2591811.422,,
2020-08-08 00:00:00+00:00,379.62,397.75,376.11,397.48,1345421.8280000002,,
2020-08-09 00:00:00+00:00,397.56,400.73,383.75,390.54,1457418.137,,
2020-08-10 00:00:00+00:00,390.54,400.7,384.34,395.83,1547750.2719999999,,
2020-08-11 00:00:00+00:00,395.83,398.78,367.0,379.3,2199154.8350000004,,
2020-08-12 00:00:00+00:00,379.34,389.75,366.05,387.46,1576215.436,,
2020-08-13 00:00:00+00:00,387.51,432.25,376.77,425.34,3595989.0779999997,,
2020-08-14 00:00:00+00:00,425.27,445.66,418.0,438.84,2795449.786,,
2020-08-15 00:00:00+00:00,438.71,443.9,426.68,432.75,1729353.597,,
2020-08-16 00:00:00+00:00,432.78,437.71,413.01,434.19,1739365.364,,
2020-08-17 00:00:00+00:00,434.19,449.0,421.01,431.33,2238985.8099999996,,
2020-08-18 00:00:00+00:00,431.31,434.5,414.0,422.36,1639582.806,,
2020-08-19 00:00:00+00:00,422.33,427.1,393.28,407.65,2392945.29,,
2020-08-20 00:00:00+00:00,407.63,419.48,402.41,416.29,1235515.8360000001,,
2020-08-21 00:00:00+00:00,416.3,418.95,385.09,388.25,1870166.5250000001,,
2020-08-22 00:00:00+00:00,388.27,397.34,380.0,395.44,1122107.6609999998,,
2020-08-23 00:00:00+00:00,395.44,397.2,383.69,391.0,892915.8559999999,,
2020-08-24 00:00:00+00:00,391.0,410.7,387.64,407.94,1323796.0780000002,,
2020-08-25 00:00:00+00:00,407.91,409.43,370.14,383.11,2394641.0470000003,,
2020-08-26 00:00:00+00:00,383.07,393.44,377.63,386.02,1390706.3819999998,,
2020-08-27 00:00:00+00:00,386.02,397.38,371.31,383.6,1885062.8879999998,,
2020-08-28 00:00:00+00:00,383.58,398.8,379.94,395.14,1161424.7480000001,,
2020-08-29 00:00:00+00:00,395.16,405.8,391.81,398.66,987943.95,,
2020-08-30 00:00:00+00:00,398.71,430.28,398.37,429.11,1442892.512,,
2020-08-31 00:00:00+00:00,429.12,439.49,418.2,434.03,1643669.582,,
2020-09-01 00:00:00+00:00,434.03,489.32,429.25,475.61,3265577.517,,
2020-09-02 00:00:00+00:00,475.7,482.44,418.3,439.75,4128002.1080000005,,
2020-09-03 00:00:00+00:00,439.74,450.91,371.0,381.62,4981606.249,,
2020-09-04 00:00:00+00:00,381.52,400.63,356.14,385.2,3806408.6100000003,,
2020-09-05 00:00:00+00:00,385.24,394.89,307.36,334.85,5792598.731000001,,
2020-09-06 00:00:00+00:00,334.85,360.0,316.03,352.69,3681811.956,,
2020-09-07 00:00:00+00:00,352.62,358.48,323.02,353.49,3268150.18,,
2020-09-08 00:00:00+00:00,353.49,356.67,325.0,337.32,3008960.4969999995,,
2020-09-09 00:00:00+00:00,337.38,359.0,330.58,350.65,1732784.8630000001,,
2020-09-10 00:00:00+00:00,350.58,377.0,349.66,367.69,2855720.317,,
2020-09-11 00:00:00+00:00,367.69,375.07,355.6,373.45,1837058.8530000001,,
2020-09-12 00:00:00+00:00,373.42,388.36,364.43,387.65,1472243.835,,
2020-09-13 00:00:00+00:00,387.58,390.45,353.12,366.24,2318465.664,,
2020-09-14 00:00:00+00:00,366.24,384.42,355.48,377.13,2243256.4239999996,,
2020-09-15 00:00:00+00:00,377.13,382.49,362.29,364.06,2013169.525,,
2020-09-16 00:00:00+00:00,364.0,373.3,354.75,364.95,1911187.0360000003,,
2020-09-17 00:00:00+00:00,364.97,394.07,363.1,389.24,2807865.002,,
2020-09-18 00:00:00+00:00,389.23,392.43,375.39,384.44,1502040.045,,
2020-09-19 00:00:00+00:00,384.43,388.71,376.67,384.96,923238.7849999999,,
2020-09-20 00:00:00+00:00,384.95,385.33,364.52,370.85,1347492.449,,
2020-09-21 00:00:00+00:00,370.86,377.2,330.66,340.19,3292780.639,,
2020-09-22 00:00:00+00:00,340.19,346.75,335.27,344.06,2105741.9519999996,,
