trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
36,977275.0,977760.0,-1.0,2427.0,0.8219000000000001,0.7986000000000001,0.9973756500000001,0.9691011000000002,-0.37357556241,56.54909999999997,54.95619881240996,9396.876366780109,4.0,9341.920167967699,0.21352690497610527,1639180800.0,2021-12-10 15:55:00+00:00,2021-12-10 15:55:00+00:00,2021-12-11 00:00:00+00:00,2021-12-11 00:00:00+00:00,0.8397935438855879,0.7508258244576481,2021-12-11 00:00:00+00:00,3.9720569607006633,1.2654661913137333,timeout,minute interval; not exact exchange fill
37,981560.0,982080.0,-1.0,1865.0,0.795,0.7817000000000001,0.7413375000000001,0.7289352500000001,-0.263080721385,24.80449999999996,23.597307971384957,9420.473674751493,4.0,9396.876366780109,0.15778381476227157,1639440000.0,2021-12-13 15:20:00+00:00,2021-12-13 15:20:00+00:00,2021-12-14 00:00:00+00:00,2021-12-14 00:00:00+00:00,0.8188711317352458,0.7000154730590168,2021-12-14 00:00:00+00:00,3.9790541979515077,0.5300424039099164,timeout,minute interval; not exact exchange fill
38,995275.0,995506.0,1.0,1549.0,1.0057,0.9767,0.77891465,0.75645415,0.0,-44.92100000000004,-46.45636880000004,9374.017305951493,1.0,9420.473674751493,0.16536634502522451,1640245620.0,2021-12-23 03:55:00+00:00,2021-12-23 03:55:00+00:00,2021-12-23 07:46:00+00:00,2021-12-23 07:47:00+00:00,0.9769041756967592,1.1198832972129633,2021-12-24 00:00:00+00:00,3.965272742691122,-1.0415121194021422,stop,minute interval; not exact exchange fill
39,996110.0,996480.0,1.0,1890.0,1.0001,0.9936,0.9450945000000001,0.938952,-2.14161805872,-12.284999999999906,-12.027428441279906,9361.989877510212,4.0,9374.017305951493,0.2016412961815137,1640304000.0,2021-12-23 17:50:00+00:00,2021-12-23 17:50:00+00:00,2021-12-24 00:00:00+00:00,2021-12-24 00:00:00+00:00,0.9769041756967592,1.092383297212963,2021-12-24 00:00:00+00:00,3.978444396135123,-0.27434760105123146,timeout,minute interval; not exact exchange fill
40,1002435.0,1003680.0,-1.0,1884.0,0.8793000000000001,0.8517,0.8283006,0.8023014,-0.49386896226000004,51.99840000000013,50.86166696226014,9412.85154447247,4.0,9361.989877510212,0.17694968929410626,1640736000.0,2021-12-28 03:15:00+00:00,2021-12-28 03:15:00+00:00,2021-12-29 00:00:00+00:00,2021-12-29 00:00:00+00:00,0.9027099613746439,0.7866601545014242,2021-12-29 00:00:00+00:00,3.9572831418217342,1.1532115787359283,timeout,minute interval; not exact exchange fill
41,1014970.0,1015114.0,-1.0,2562.0,0.7856000000000001,0.7190000000000001,1.0063536000000002,0.9210390000000002,0.0,170.62919999999997,168.70180739999995,9581.553351872471,2.0,9412.85154447247,0.21382544816420979,1641422100.0,2022-01-05 20:10:00+00:00,2022-01-05 20:10:00+00:00,2022-01-05 22:34:00+00:00,2022-01-05 22:35:00+00:00,0.8026678236324579,0.7188287054701685,2022-01-06 00:00:00+00:00,3.9121153327863496,3.8580021341899466,target,minute interval; not exact exchange fill
42,1016900.0,1017146.0,-1.0,1753.0,0.7326,0.7589,0.6421239000000001,0.66517585,-0.13180807,-46.10389999999998,-47.27939167999998,9534.273960192473,1.0,9581.553351872471,0.13403336106760042,1641544020.0,2022-01-07 04:20:00+00:00,2022-01-07 04:20:00+00:00,2022-01-07 08:26:00+00:00,2022-01-07 08:27:00+00:00,0.7586931042531951,0.6287275829872195,2022-01-08 00:00:00+00:00,3.980837849144043,-1.0336278787794073,stop,minute interval; not exact exchange fill
43,1019220.0,1019374.0,-1.0,2366.0,0.7252000000000001,0.7443000000000001,0.8579116000000001,0.8805069000000001,0.0,-45.19060000000001,-46.92901850000001,9487.344941692472,1.0,9534.273960192473,0.17996369803971546,1641677700.0,2022-01-08 19:00:00+00:00,2022-01-08 19:00:00+00:00,2022-01-08 21:34:00+00:00,2022-01-08 21:35:00+00:00,0.7441264743297649,0.6499941026809403,2022-01-09 00:00:00+00:00,3.9735819788045226,-1.0479896918152793,stop,minute interval; not exact exchange fill
44,1021820.0,1021938.0,-1.0,1837.0,0.7101000000000001,0.7349,0.65222685,0.67500565,-0.0425898683795244,-45.55759999999988,-46.84224263162036,9440.502699060851,1.0,9487.344941692472,0.1374940732119407,1641831540.0,2022-01-10 14:20:00+00:00,2022-01-10 14:20:00+00:00,2022-01-10 16:18:00+00:00,2022-01-10 16:19:00+00:00,0.734722971161728,0.6126081153530881,2022-01-11 00:00:00+00:00,3.9593875169072117,-1.0355905209064655,stop,minute interval; not exact exchange fill
45,1022015.0,1022221.0,-1.0,2575.0,0.7176,0.7349,0.92391,0.9461837500000001,0.0,-44.54749999999996,-46.41759374999996,9394.08510531085,1.0,9440.502699060851,0.19573322087856854,1641848520.0,2022-01-10 17:35:00+00:00,2022-01-10 17:35:00+00:00,2022-01-10 21:01:00+00:00,2022-01-10 21:02:00+00:00,0.734722971161728,0.6511081153530878,2022-01-11 00:00:00+00:00,3.883197841010792,-1.052752459239721,stop,minute interval; not exact exchange fill
46,1026460.0,1026720.0,-1.0,2480.0,0.7629,0.7675000000000001,0.945996,0.9517000000000001,-0.19034,-11.40800000000012,-13.11535600000012,9380.969749310849,4.0,9394.08510531085,0.2014024760037975,1642118400.0,2022-01-13 19:40:00+00:00,2022-01-13 19:40:00+00:00,2022-01-14 00:00:00+00:00,2022-01-14 00:00:00+00:00,0.7805714610930493,0.6932141556278028,2022-01-14 00:00:00+00:00,3.943411583528132,-0.2992650110906875,timeout,minute interval; not exact exchange fill
47,1033040.0,1033111.0,-1.0,3810.0,0.7372000000000001,0.7485,1.4043660000000002,1.4258925000000002,0.0,-43.05299999999991,-45.88325849999992,9335.086490810849,1.0,9380.969749310849,0.2994074253577395,1642501920.0,2022-01-18 09:20:00+00:00,2022-01-18 09:20:00+00:00,2022-01-18 10:31:00+00:00,2022-01-18 10:32:00+00:00,0.7482782493918511,0.693887002432596,2022-01-19 00:00:00+00:00,3.909733030497086,-1.0870715736782877,stop,minute interval; not exact exchange fill
48,1034395.0,1034593.0,-1.0,3161.0,0.7269,0.7379,1.14886545,1.1662509500000002,-0.039747008949511595,-34.77100000000003,-37.04636939105052,9298.040121419797,1.0,9335.086490810849,0.24613921919864487,1642590840.0,2022-01-19 07:55:00+00:00,2022-01-19 07:55:00+00:00,2022-01-19 11:13:00+00:00,2022-01-19 11:14:00+00:00,0.7377373567480364,0.6840505730078542,2022-01-20 00:00:00+00:00,3.9538632886574914,-1.0814284409256776,stop,minute interval; not exact exchange fill
